2.361  7.63899978402956E+0000  2.36100020000000E+0000  1.57753092933869E+0001
2.392  2.39376661221509E+0000  2.39200020976404E+0000  2.39200020000000E+0000
2.275  2.27500020000000E+0000  2.72499978460215E+0000  2.81559283363057E+0001
2.251  3.21747494063520E+0000  2.25100020621677E+0000  2.37545938300351E+0001
2.498  7.01991416903151E+0000  2.49800035199985E+0000  2.76913903993693E+0001
2.311  2.92308599732765E+0000  2.31100021349524E+0000  1.60109764737967E+0001
2.264  7.73599980000000E+0000  2.73599976983660E+0000  7.10883872411629E+0000
2.453  7.54699980000000E+0000  2.54699953110232E+0000  3.26140101031285E+0001
2.167  2.16700020000000E+0000  2.83299980000000E+0000  6.92395130232138E+0000
2.306  7.69399980000000E+0000  2.48580932312464E+0000  2.29349337558144E+0001
1.517  5.07796989692460E+0000  1.51827982128886E+0000  1.29471391715773E+0001
1.432  4.92837880392361E+0000  1.43200023426593E+0000  5.08961401330651E+0000
1.498  8.50199980000000E+0000  3.50199980000000E+0000  1.93593342444969E+0001
1.866  1.86600020000000E+0000  3.13399980000000E+0000  1.99673098382068E+0001
1.773  4.77599670054541E+0000  1.77300020000000E+0000  9.67951677676418E+0000
1.925  5.41616110204763E+0000  1.92500020000000E+0000  1.94138105856686E+0001
1.987  1.98700020000000E+0000  3.01299979594865E+0000  1.18753087606161E+0001
2.043  7.95699980000000E+0000  2.95699980000000E+0000  1.14234269505740E+0001
2.427  7.54322707044008E+0000  2.46335503437101E+0000  2.42831235400308E+0000
2.339  2.76087313278938E+0000  2.33900028080629E+0000  3.27280100973103E+0001
 3.50670103031285E+0001
